Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date,Cargo Approx tn,Cargo type
Arktika-1,9228980,Arc 5,Russia,Reskom Tyumen,Container,9150,6585,135,Russia,Arkhangelsk,2023-10-01,Russia,Petropavlovsk-Kamchatskiy,2023-10-17,6687.03,general cargo
Danila Bagrov,9458420,Ice 2,Liberia,SPV4,General cargo,28309,20682,166,China,Shanghai,2023-09-22,Russia,Murmansk,2023-10-17,0,ballast
Velikiy Novgorod,9630004,Ice 2,Liberia,Boreray Shipping,LNG Tanker,93486,113876,300,China,Caofeidian,2023-09-15,Russia,Portovaya,2023-10-17,0,ballast
Hammurabi,9297357,Arc 4,Panama,EREN SHIPPING,Tanker,113553,63462,251,China,Dalian,2023-09-14,Russia,Ust-Luga,2023-10-18,0,ballast
Xin Xin Shan,9348986,Ice 1,China,Hainan LDK International Multimodal Transport,Container,23730,18017,182,China,Tianjin,2023-09-10,Russia,Kaliningrad,2023-10-21,8873.78,containers
SCF Samotlor,9421972,No Ice Class,Liberia,Chamber Marine,Tanker,158070,84029,274,Russia,Murmansk,2023-09-28,China,Rizhao,2023-10-22,140000,crude oil
Olimpiyskiy Prospect,9511387,Ice 3,Liberia,Erdington Navigation,Tanker,113905,62504,250,Russia,Vostochnyy,2023-09-26,Russia,Primorsk,2023-10-22,0,ballast
Fan Zhou 10,9595345,Ice 1,China,Jiangsu Fanzhou,Heavy Load,62074,48292,240,Russia,Murmansk,2023-10-01,China,Zhoushan,2023-10-23,0,ballast
MV Platos,9273375,No Ice Class,Panama,Marine Breeze Shipping,Bulk,171320,87720,289,Russia,Murmansk,2023-09-29,China,Dalian,2023-10-27,160000,iron ore concentrate
Polar Lady,9438614,Ice 2,Barbados,Growpa Corp,Bulk,74815,41586,225,Russia,Ust-Luga,2023-09-21,China,Caofeidian,2023-10-27,72320,coal
SCF Baltica,9305568,Arc 5,Liberia,Ashbourne Navigation,Tanker,117153,65293,250,Russia,Murmansk,2023-10-05,China,Ningbo,2023-10-29,100000,crude oil
Xin Xin Hai 1,9623609,Ice 2,China,Yangpu Newnew Shipping,General cargo,29011,21270,166,Russia,Arkhangelsk,2023-10-04,Russia,Vanino,2023-11-01,14548.7,containers
Sevmorput,8729810,Arc 5,Russia,Atomflot,Container,33240,38226,260,Russia,"St, Petersburg",2023-10-12,Russia,Vostochnyy,2023-11-03,2613.75,containers
Gingo,9182710,No Ice Class,Liberia,Light Maritime,Bulk,169159,86192,289,China,Dalian,2023-09-22,Russia,Murmansk,2023-11-09,0,ballast
Almaz,9150224,Ice 1,Russia,MAGE,Tug,57,182,29,Russia,Murmansk,2023-10-14,Russia,Livadiya,2023-11-15,0,ballast
NS Arctic,9413547,Ice 3,Liberia,Ns Arctic Shipping,Tanker,111107,62433,250,Russia,Primorsk,2023-10-06,China,Tianjin,2023-11-17,99967.8,crude oil
Newnew Polar Bear,9313204,Arc 5,Hong Kong,HAINANXIN XIN YANG,Container,15952,16324,169,Russia,Arkhangelsk,2023-10-24,China,Tianjin,2023-12-05,13171.3,containers
Sevmorput,8729810,Arc 5,Russia,Atomflot,Container,33240,38226,260,Russia,Petropavlovsk-Kamchatskiy,2023-11-15,Russia,"St, Petersburg",2023-12-05,2459.6,containers
