Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date
Kumpula,9590802,Arc 4,Finland,Suek AG,Bulk,56348,33958,197,Russia,Murmansk,2021-09-28,China,Rizhao,2021-10-22
Parkgracht,9424546,Arc 4,Netherlands,BigLift Shipping,General cargo,20170,17628,168.65,China,Nantong,2021-09-30,Poland,Swinoujscie,2021-11-18
Tasmanic Winter,9467158,Arc 4,Liberia,Tasmanic Winter Shipping Company,Heavy Load,19324,15549,166,China,Ningbo,2021-10-04,UK,Liverpool,2021-11-01
Hilke,9501875,Arc 4,Antigua and Barbuda,Harren & Partner,General cargo,10052,11473,133.94,UK,Montrose,2021-10-06,Russia,Korsakov,2021-10-28
UHL Flash,9785407,No Ice Class,Portugal,HAMMONIA Reederei,General cargo,14066,16732,150,China,Taicang,2021-10-08,Netherlands,Rotterdam,2021-11-18
UHL Faith,9892482,Arc 4,Portugal,Fortune Aquila Shipping,General cargo,17116,16732,149.95,China,Taicang,2021-10-10,Germany,Hamburg,2021-11-18
Nordic Nuluujaak,9884966,Arc 4,Marshall Islands,Fortune Sealion I,Bulk,95758,54066,229.5,Canada,Nunavut,2021-10-10,China,Ningbo,2021-12-15
Alexander Nevskiy,9356610,Arc 4,Russia,Valkur,Tanker,17069,12162,144,Russia,Arkhangelsk,2021-10-10,Russia,Ossora,2021-10-27
Golden Furious,9860128,Ice 2,Marshall Islands,Furious Shipowning,Bulk,81600,44094,229,Russia,Murmansk,2021-10-11,China,Lanshan,2021-11-04
UHL Future,9808845,Arc 4,Portugal,HAMMONIA Reederei,General cargo,14058,16729,150,Denmark,Aalborg,2021-10-11,Taiwan,Taichung,2021-11-05
Nordic Qinngua,9884978,Arc 4,Marshall Islands,Fortune Sealion II,Bulk,95758,54066,229.5,Canada,Nunavut,2021-10-12,China,Huanghua,2021-12-09
Admiral Shmidt,9838838,Arc 5,Bahamas,GTLK Asia M3,Bulk,104553,66291,250,Canada,Nunavut,2021-10-14,China,Ningbo,2021-11-27
Klara,9467160,Arc 4,Portugal,SAL Shipping,General cargo,19359,15549,166.15,Denmark,Esbjerg,2021-10-16,Taiwan,Taichung,2021-11-10
Golden Suek,9438614,Ice 2,Hong Kong,Suek AG,Bulk,74849,41586,225,Russia,Murmansk,2021-10-18,China,Tianjin,2021-12-04
UHL Fusion,9785380,Arc 4,Portugal,Elmar Shipping,General cargo,17147,16732,150,Denmark,Esbjerg,2021-10-25,Russia,Bolshoy Kamen,2021-11-29
Golden Pearl,9470375,Ice 2,Marshall Islands,Suek AG,Bulk,74300,41718,225,Russia,Murmansk,2021-10-26,China,Rizhao,2021-12-02
Kumpula,9590802,Arc 4,Finland,Suek AG,Bulk,56348,33958,197,China,Rizhao,2021-10-26,Norway,Narvik,2021-12-11
Sevmorput,8729810,Arc 5,Russia,Atomflot,Container,33240,38226,260,Russia,"St, Petersburg",2021-11-02,Russia,Nakhodka,2021-11-24
Pugnax,9763849,Arc 7,Liberia,Fortune MC Titan Shipping,Heavy Load,28816,34146,206.3,China,Nantong,2021-11-06,Russia,Murmansk,2022-01-10
